"Journal Data Filtered By:  Selected JCR Year: 2017 Selected Editions: SCIE,SSCI Selected Category Scheme: WoS",,,,,,
Rank,Full Journal Title,ISSN,Total Cites,Journal Impact Factor,5-Year Impact Factor,Eigenfactor Score
832,BIOCHIMICA ET BIOPHYSICA ACTA-MOLECULAR BASIS OF DISEASE,0925-4439,"12,799",5.108,5.964,0.027740
833,INTERNATIONAL JOURNAL OF MACHINE TOOLS & MANUFACTURE,0890-6955,"13,392",5.106,5.905,0.008100
833,Inorganic Chemistry Frontiers,2052-1553,"2,147",5.106,5.116,0.005480
835,JOURNAL OF COLLOID AND INTERFACE SCIENCE,0021-9797,"64,119",5.091,4.281,0.046010
836,FOOD HYDROCOLLOIDS,0268-005X,"18,877",5.089,5.501,0.023150
837,ANNALS OF TOURISM RESEARCH,0160-7383,"11,731",5.086,6.814,0.005380
838,AUSTRALIAN AND NEW ZEALAND JOURNAL OF PSYCHIATRY,0004-8674,"6,624",5.084,4.309,0.008440
838,AUSTRALIAN AND NEW ZEALAND JOURNAL OF PSYCHIATRY,0004-8674,"6,624",5.084,4.309,0.008440
840,Materials Science & Engineering C-Materials for Biological Applications,0928-4931,"24,491",5.080,4.628,0.034620
841,MOLECULAR NEUROBIOLOGY,0893-7648,"10,183",5.076,5.136,0.023310
842,Advances in Agronomy,0065-2113,"4,383",5.073,5.493,0.003090
842,GEOLOGY,0091-7613,"35,294",5.073,5.451,0.046070
844,CARCINOGENESIS,0143-3334,"21,776",5.072,5.232,0.021960
845,IEEE TRANSACTIONS ON IMAGE PROCESSING,1057-7149,"31,355",5.071,5.852,0.054090
845,Microsystems & Nanoengineering,2055-7434,330,5.071,Not Available,0.001100
845,Oceanography and Marine Biology,0078-3218,"2,219",5.071,5.323,0.000810
848,Journal of Biomedical Nanotechnology,1550-7033,"5,103",5.068,4.225,0.007570
849,EPILEPSIA,0013-9580,"26,301",5.067,5.176,0.032490
850,EXERCISE AND SPORT SCIENCES REVIEWS,0091-6331,"2,935",5.065,5.363,0.003070
851,AMERICAN SOCIOLOGICAL REVIEW,0003-1224,"19,277",5.063,7.143,0.013970
852,IEEE CONTROL SYSTEMS MAGAZINE,1066-033X,"3,781",5.060,4.880,0.002830
853,Aging and Disease,2152-5250,"1,386",5.058,4.690,0.003230
854,Soft Robotics,2169-5172,491,5.057,8.069,0.001890
855,ORGANIZATION & ENVIRONMENT,1086-0266,"1,211",5.049,4.875,0.001620
856,Gastric Cancer,1436-3291,"4,290",5.045,4.416,0.006460
857,DEPRESSION AND ANXIETY,1091-4269,"7,923",5.043,5.518,0.015870
857,DEPRESSION AND ANXIETY,1091-4269,"7,923",5.043,5.518,0.015870
859,Circulation-Cardiovascular Quality and Outcomes,1941-7705,"4,337",5.036,5.729,0.016830
860,REVIEWS IN MEDICAL VIROLOGY,1052-9276,"1,945",5.034,4.935,0.002810
861,American Economic Journal-Applied Economics,1945-7782,"2,232",5.028,5.621,0.018040
862,NEUROENDOCRINOLOGY,0028-3835,"4,670",5.024,4.505,0.005340
863,JOURNAL OF THE METEOROLOGICAL SOCIETY OF JAPAN,0026-1165,"3,730",5.023,2.651,0.004770
864,SOLAR ENERGY MATERIALS AND SOLAR CELLS,0927-0248,"27,711",5.018,4.629,0.032980
865,Alzheimers Research & Therapy,1758-9193,"2,192",5.015,6.206,0.008470
866,JOURNAL OF CLINICAL CHILD AND ADOLESCENT PSYCHOLOGY,1537-4416,"5,136",5.014,4.836,0.008890
867,IEEE TRANSACTIONS ON AUTOMATIC CONTROL,0018-9286,"44,822",5.007,5.924,0.059780
868,Nanomedicine,1743-5889,"7,253",5.005,5.519,0.012950
869,JOURNAL OF NEUROTRAUMA,0897-7151,"14,508",5.002,5.063,0.021130
870,Advances in Applied Mechanics,0065-2156,"1,400",5.000,4.188,0.000430
871,CURRENT OPINION IN GENETICS & DEVELOPMENT,0959-437X,"7,791",4.995,5.496,0.018550
872,LANDSCAPE AND URBAN PLANNING,0169-2046,"13,418",4.994,5.957,0.014000
872,LANDSCAPE AND URBAN PLANNING,0169-2046,"13,418",4.994,5.957,0.014000
872,NEOPLASIA,1476-5586,"6,801",4.994,4.681,0.008860
875,EPIDEMIOLOGY,1044-3983,"12,660",4.991,6.375,0.020120
875,EPIDEMIOLOGY,1044-3983,"12,660",4.991,6.375,0.020120
877,HUMAN REPRODUCTION,0268-1161,"30,712",4.990,4.949,0.036700
878,ACTA PSYCHIATRICA SCANDINAVICA,0001-690X,"12,498",4.984,5.236,0.010890
878,ACTA PSYCHIATRICA SCANDINAVICA,0001-690X,"12,498",4.984,5.236,0.010890
880,OBSTETRICS AND GYNECOLOGY,0029-7844,"32,516",4.982,5.609,0.051210
881,Epigenomics,1750-1911,"2,055",4.979,4.494,0.006170
882,ENVIRONMENTAL MICROBIOLOGY,1462-2912,"20,320",4.974,5.462,0.033240
883,Educational Research Review,1747-938X,"1,218",4.973,7.053,0.002600
884,ENERGY,0360-5442,"52,650",4.968,5.582,0.076580
885,BIOCHIMICA ET BIOPHYSICA ACTA-MOLECULAR AND CELL BIOLOGY OF LIPIDS,1388-1981,"8,827",4.966,4.916,0.019590
886,REVIEWS IN ENDOCRINE & METABOLIC DISORDERS,1389-9155,"2,004",4.963,5.497,0.003780
886,Stem Cell Research & Therapy,1757-6512,"4,578",4.963,5.382,0.012630
888,THROMBOSIS AND HAEMOSTASIS,0340-6245,"16,701",4.952,4.398,0.025770
889,CLINICAL PSYCHOLOGY-SCIENCE AND PRACTICE,0969-5893,"3,328",4.950,4.045,0.002570
890,FOOD CHEMISTRY,0308-8146,"90,665",4.946,4.879,0.101120
891,Advances in Organometallic Chemistry,0065-3055,828,4.944,7.345,0.000860
892,RADIOTHERAPY AND ONCOLOGY,0167-8140,"17,184",4.942,4.987,0.027840
892,SEMINARS IN ONCOLOGY,0093-7754,"5,409",4.942,4.375,0.007270
894,JOURNAL OF MOLECULAR MEDICINE-JMM,0946-2716,"7,120",4.938,5.128,0.011400
895,CELL PROLIFERATION,0960-7722,"2,663",4.936,4.036,0.003440
895,Oxidative Medicine and Cellular Longevity,1942-0900,"9,180",4.936,5.317,0.022930
897,IEEE Geoscience and Remote Sensing Magazine,2168-6831,480,4.932,6.243,0.002040
898,Stem Cells Translational Medicine,2157-6564,"3,860",4.929,5.144,0.012790
899,HUMAN BRAIN MAPPING,1065-9471,"20,334",4.927,5.431,0.042810
899,Polymer Chemistry,1759-9954,"20,644",4.927,4.927,0.048050
901,SOIL BIOLOGY & BIOCHEMISTRY,0038-0717,"32,573",4.926,5.419,0.031940
902,COMPOSITES PART B-ENGINEERING,1359-8368,"21,107",4.920,4.858,0.038660
903,Corporate Social Responsibility and Environmental Management,1535-3958,"1,985",4.918,5.856,0.001060
903,Epigenetics,1559-2294,"5,167",4.918,5.167,0.014110
903,ORGANIZATIONAL RESEARCH METHODS,1094-4281,"5,091",4.918,9.248,0.006670
906,AIDS,0269-9370,"20,578",4.914,4.874,0.038030
907,FUEL,0016-2361,"54,408",4.908,5.033,0.073300
908,CORTEX,0010-9452,"9,506",4.907,4.970,0.023240
908,STRUCTURE,0969-2126,"14,417",4.907,5.034,0.036760
910,HUMAN MOLECULAR GENETICS,0964-6906,"40,141",4.902,5.571,0.081220
910,JOURNALS OF GERONTOLOGY SERIES A-BIOLOGICAL SCIENCES AND MEDICAL SCIENCES,1079-5006,"17,809",4.902,5.798,0.023940
910,JOURNALS OF GERONTOLOGY SERIES A-BIOLOGICAL SCIENCES AND MEDICAL SCIENCES,1079-5006,"17,809",4.902,5.798,0.023940
913,RENEWABLE ENERGY,0960-1481,"34,315",4.900,4.981,0.048280
913,Therapeutic Advances in Chronic Disease,2040-6223,599,4.900,Not Available,0.002020
915,JOURNAL OF OPERATIONS MANAGEMENT,0272-6963,"8,874",4.899,7.485,0.006240
915,JOURNAL OF OPERATIONS MANAGEMENT,0272-6963,"8,874",4.899,7.485,0.006240
915,JOURNAL OF THROMBOSIS AND HAEMOSTASIS,1538-7933,"17,663",4.899,5.373,0.034380
918,PHARMACOLOGICAL RESEARCH,1043-6618,"9,807",4.897,5.048,0.015690
919,JOURNAL OF MOLECULAR BIOLOGY,0022-2836,"59,295",4.894,4.242,0.047560
919,NEUROPSYCHOLOGY REVIEW,1040-7308,"2,996",4.894,7.432,0.004070
919,NEUROPSYCHOLOGY REVIEW,1040-7308,"2,996",4.894,7.432,0.004070
922,CHEMICAL RECORD,1527-8999,"2,657",4.891,4.344,0.005610
923,SIAM REVIEW,0036-1445,"8,047",4.886,5.505,0.005510
924,IEEE TRANSACTIONS ON CONTROL SYSTEMS TECHNOLOGY,1063-6536,"11,592",4.883,5.042,0.021880
925,Annual Review of Applied Linguistics,0267-1905,909,4.880,3.817,0.001230
925,JOURNAL OF MOLECULAR DIAGNOSTICS,1525-1578,"3,818",4.880,4.980,0.009420
925,JOURNAL OF THORACIC AND CARDIOVASCULAR SURGERY,0022-5223,"27,492",4.880,4.334,0.042650
925,Translational Research,1931-5244,"3,416",4.880,4.496,0.009000
929,BJOG-AN INTERNATIONAL JOURNAL OF OBSTETRICS AND GYNAECOLOGY,1470-0328,"15,883",4.876,4.687,0.023880
930,CORROSION SCIENCE,0010-938X,"32,659",4.862,5.238,0.028040
931,JOURNAL OF PAIN,1526-5900,"9,264",4.859,5.563,0.016890
932,AMERICAN PSYCHOLOGIST,0003-066X,"24,751",4.856,7.224,0.010880
933,Exposure and Health,2451-9766,216,4.850,4.850,0.000540
934,INTERNATIONAL JOURNAL OF HYGIENE AND ENVIRONMENTAL HEALTH,1438-4639,"4,282",4.848,4.481,0.006360
935,AMERICAN JOURNAL OF BIOETHICS,1526-5161,"2,023",4.847,5.597,0.003410
935,AMERICAN JOURNAL OF BIOETHICS,1526-5161,"2,023",4.847,5.597,0.003410
935,PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES,0962-8452,"51,704",4.847,5.611,0.087560
938,HEALTH AFFAIRS,0278-2715,"15,756",4.843,5.532,0.055270
938,HEALTH AFFAIRS,0278-2715,"15,756",4.843,5.532,0.055270
940,JOURNAL OF INDUSTRIAL AND ENGINEERING CHEMISTRY,1226-086X,"12,666",4.841,4.231,0.022090
941,Advanced Materials Interfaces,2196-7350,"4,172",4.834,4.794,0.012560
942,Food Engineering Reviews,1866-7910,795,4.833,4.859,0.001330
943,Cells,2073-4409,"1,005",4.829,Not Available,0.004100
944,EUROPEAN JOURNAL OF MEDICINAL CHEMISTRY,0223-5234,"31,802",4.816,4.527,0.037960
945,Developmental Cognitive Neuroscience,1878-9293,"1,964",4.815,5.197,0.008170
945,Developmental Cognitive Neuroscience,1878-9293,"1,964",4.815,5.197,0.008170
947,JOURNAL OF ORGANIC CHEMISTRY,0022-3263,"100,091",4.805,4.313,0.091170
948,FERTILITY AND STERILITY,0015-0282,"35,616",4.803,4.810,0.045910
949,TECHNOVATION,0166-4972,"5,639",4.802,5.407,0.003220
949,TECHNOVATION,0166-4972,"5,639",4.802,5.407,0.003220
951,ACADEMIC MEDICINE,1040-2446,"14,301",4.801,5.100,0.025360
952,WILDLIFE MONOGRAPHS,0084-0173,805,4.800,5.500,0.000430
953,EDUCATIONAL PSYCHOLOGY REVIEW,1040-726X,"3,989",4.797,5.244,0.003610
954,AMERICAN JOURNAL OF OPHTHALMOLOGY,0002-9394,"25,234",4.795,4.665,0.031820
955,MRS BULLETIN,0883-7694,"7,670",4.788,6.467,0.014060
956,SCIENCE AND TECHNOLOGY OF ADVANCED MATERIALS,1468-6996,"4,520",4.787,4.258,0.006150
957,DEVELOPMENTAL REVIEW,0273-2297,"2,869",4.783,6.633,0.003170
958,Physical Review Applied,2331-7019,"3,366",4.782,5.223,0.016690
959,Journal of Materials Chemistry B,2050-750X,"17,268",4.776,4.959,0.043630
960,Clinics in Liver Disease,1089-3261,"2,076",4.771,4.107,0.004710
960,EVOLUTIONARY ANTHROPOLOGY,1060-1538,"1,868",4.771,4.758,0.002510
962,ANNALS OF MATHEMATICS,0003-486X,"11,695",4.768,4.693,0.026350
963,JOURNAL OF THE AMERICAN COLLEGE OF SURGEONS,1072-7515,"16,326",4.767,4.972,0.031690
964,CELLULAR ONCOLOGY,2211-3428,"1,322",4.761,3.677,0.002020
965,Journal of Stroke,2287-6391,694,4.750,Not Available,0.002880
965,Reviews in Fisheries Science & Aquaculture,2330-8249,208,4.750,3.698,0.000690
965,Therapeutic Advances in Neurological Disorders,1756-2856,"1,004",4.750,4.490,0.002800
968,HEART RHYTHM,1547-5271,"11,723",4.743,4.772,0.033520
969,CRITICAL REVIEWS IN MICROBIOLOGY,1040-841X,"2,307",4.738,5.211,0.003450
969,JOURNAL OF PSYCHOPHARMACOLOGY,0269-8811,"5,808",4.738,4.062,0.010900
971,ENVIRONMENTAL RESEARCH,0013-9351,"13,420",4.732,4.744,0.021790
972,PSYCHONEUROENDOCRINOLOGY,0306-4530,"16,507",4.731,5.522,0.030420
973,PROGRESS IN AEROSPACE SCIENCES,0376-0421,"3,156",4.729,6.054,0.003990
974,GPS SOLUTIONS,1080-5370,"2,438",4.727,4.767,0.004430
975,WASTE MANAGEMENT,0956-053X,"20,761",4.723,5.262,0.020900
976,Oncogenesis,2157-9024,"1,348",4.722,4.692,0.004480
977,PARKINSONISM & RELATED DISORDERS,1353-8020,"8,967",4.721,4.855,0.019910
978,XENOTRANSPLANTATION,0908-665X,"1,479",4.717,3.391,0.002550
979,Circulation-Arrhythmia and Electrophysiology,1941-3149,"6,026",4.712,5.180,0.021390
980,NEUROREHABILITATION AND NEURAL REPAIR,1545-9683,"5,032",4.711,4.844,0.009850
981,Current HIV/AIDS Reports,1548-3568,"1,490",4.710,4.361,0.004890
982,INORGANIC CHEMISTRY,0020-1669,"92,336",4.700,4.513,0.101880
983,Evolutionary Applications,1752-4571,"3,417",4.694,5.063,0.010840
984,Expert Opinion on Drug Discovery,1746-0441,"2,595",4.692,3.758,0.006200
985,Translational Psychiatry,2158-3188,"5,384",4.691,5.470,0.021220
986,DRUGS,0012-6667,"10,340",4.690,4.439,0.013330
986,GEOCHIMICA ET COSMOCHIMICA ACTA,0016-7037,"64,492",4.690,5.052,0.057150
988,Advances in Genetics,0065-2660,"1,529",4.689,4.864,0.002430
989,BJU INTERNATIONAL,1464-4096,"20,875",4.688,3.915,0.030530
990,Academy of Management Perspectives,1558-9080,"2,404",4.686,7.341,0.004600
991,Cell Division,1747-1028,571,4.684,3.274,0.001020
992,ANNALS OF EMERGENCY MEDICINE,0196-0644,"12,555",4.680,5.290,0.016670
993,Advances in Nonlinear Analysis,2191-9496,290,4.674,2.786,0.002130
993,ChemCatChem,1867-3880,"13,109",4.674,4.606,0.031040
995,CURRENT DIRECTIONS IN PSYCHOLOGICAL SCIENCE,0963-7214,"10,226",4.673,7.726,0.016950
996,IEEE TRANSACTIONS ON COMMUNICATIONS,0090-6778,"19,617",4.671,4.439,0.037740
996,JOURNAL OF MEDICAL INTERNET RESEARCH,1438-8871,"10,875",4.671,5.735,0.027410
998,CATALYSIS TODAY,0920-5861,"34,012",4.667,4.504,0.029830
999,IEEE TRANSACTIONS ON GEOSCIENCE AND REMOTE SENSING,0196-2892,"34,522",4.662,4.690,0.043400
1000,JOURNAL OF CLIMATE,0894-8755,"47,036",4.661,5.606,0.085950
1000,RESEARCH POLICY,0048-7333,"20,135",4.661,7.070,0.018020
1002,BIOLOGICAL CONSERVATION,0006-3207,"28,274",4.660,4.995,0.036240
1002,CEMENT & CONCRETE COMPOSITES,0958-9465,"11,364",4.660,5.515,0.015390
1002,ELECTROCHEMISTRY COMMUNICATIONS,1388-2481,"21,226",4.660,4.534,0.022280
1005,BIOCHIMICA ET BIOPHYSICA ACTA-MOLECULAR CELL RESEARCH,0167-4889,"15,355",4.651,5.282,0.035090
1006,Annals of Clinical and Translational Neurology,2328-9503,"1,377",4.649,4.336,0.006450
1007,TRANSPORT REVIEWS,0144-1647,"2,363",4.647,4.813,0.003310
1008,JOURNAL OF APPLIED PSYCHOLOGY,0021-9010,"35,771",4.643,7.121,0.019290
1009,JOURNAL OF ABNORMAL PSYCHOLOGY,0021-843X,"15,363",4.642,6.127,0.015040
1010,Reaction Chemistry & Engineering,2058-9883,378,4.641,4.641,0.000930
1011,Future Generation Computer Systems-The International Journal of eScience,0167-739X,"6,410",4.639,4.968,0.013400
1012,ORAL ONCOLOGY,1368-8375,"8,949",4.636,4.536,0.013760
1013,JOURNAL OF GEODESY,0949-7714,"4,436",4.633,4.409,0.006330
1014,PUBLICATIONS OF THE ASTRONOMICAL SOCIETY OF AUSTRALIA,1323-3580,"1,719",4.630,3.907,0.005690
1015,JOURNAL OF THE AMERICAN MATHEMATICAL SOCIETY,0894-0347,"3,371",4.625,4.138,0.013720
1016,Advanced Materials Technologies,2365-709X,495,4.622,4.622,0.000980
1017,Clinical and Translational Gastroenterology,2155-384X,763,4.621,4.356,0.003410
1017,EUROPEAN JOURNAL OF NEUROLOGY,1351-5101,"10,206",4.621,4.040,0.019350
1019,ECOLOGY,0012-9658,"60,825",4.617,5.677,0.044150
1020,DIVERSITY AND DISTRIBUTIONS,1366-9516,"7,404",4.614,4.777,0.013080
1021,SCIENCE OF THE TOTAL ENVIRONMENT,0048-9697,"71,249",4.610,4.984,0.108650
1022,JOURNAL OF NEUROCHEMISTRY,0022-3042,"37,022",4.609,4.319,0.030710
1023,Cancer Biology & Medicine,2095-3941,816,4.607,Not Available,0.002330
1024,JOURNAL OF INFECTION,0163-4453,"6,636",4.603,4.400,0.014730
1025,NEPHROLOGY DIALYSIS TRANSPLANTATION,0931-0509,"25,654",4.600,4.306,0.038260
1026,EXPERT OPINION ON THERAPEUTIC TARGETS,1472-8222,"4,556",4.598,4.699,0.008790
1026,TRENDS IN CARDIOVASCULAR MEDICINE,1050-1738,"2,588",4.598,3.694,0.004040
1028,MOLECULAR CANCER RESEARCH,1541-7786,"7,834",4.597,4.605,0.013490
1029,Earths Future,2328-4277,873,4.594,6.756,0.004720
1030,ACS Chemical Biology,1554-8929,"10,139",4.592,4.794,0.038480
1031,PUBLIC ADMINISTRATION REVIEW,0033-3352,"7,651",4.591,5.284,0.006800
1032,JOURNAL OF ENVIRONMENTAL SCIENCE AND HEALTH PART C-ENVIRONMENTAL CARCINOGENESIS & ECOTOXICOLOGY REVIEWS,1059-0501,895,4.586,4.235,0.000810
1032,NUTRITION RESEARCH REVIEWS,0954-4224,"2,164",4.586,5.824,0.001840
1034,IEEE Transactions on Affective Computing,1949-3045,"1,333",4.585,5.977,0.003080
1034,STANFORD LAW REVIEW,0038-9765,"3,863",4.585,4.726,0.004540
1036,JOURNAL OF BONE AND JOINT SURGERY-AMERICAN VOLUME,0021-9355,"46,966",4.583,6.416,0.044930
1037,EARTH AND PLANETARY SCIENCE LETTERS,0012-821X,"57,889",4.581,5.116,0.092360
1038,International Journal of Neural Systems,0129-0657,"1,622",4.580,4.551,0.002930
1039,Asian Journal of Pharmaceutical Sciences,1818-0876,"1,120",4.560,Not Available,0.002410
1040,SEMINARS IN NUCLEAR MEDICINE,0001-2998,"2,285",4.558,3.727,0.002990
1041,MOLECULAR PHARMACEUTICS,1543-8384,"15,754",4.556,4.785,0.029080
1042,CANCER EPIDEMIOLOGY BIOMARKERS & PREVENTION,1055-9965,"19,976",4.554,4.427,0.029440
1043,European Journal of Preventive Cardiology,2047-4873,"3,478",4.542,3.780,0.013060
1043,JOURNAL OF ACCOUNTING RESEARCH,0021-8456,"7,153",4.542,5.565,0.007930
1043,Journal of Physiotherapy,1836-9553,839,4.542,5.217,0.002390
1046,Environmental Research Letters,1748-9326,"11,797",4.541,5.288,0.044410
1046,JMIR mHealth and uHealth,2291-5222,"1,418",4.541,4.497,0.004630
1048,ANNALS OF FAMILY MEDICINE,1544-1709,"4,711",4.540,6.208,0.011480
1048,GYNECOLOGIC ONCOLOGY,0090-8258,"23,652",4.540,4.592,0.034310
1048,JOURNAL OF PHYSIOLOGY-LONDON,0022-3751,"48,647",4.540,4.784,0.045010
1051,BUILDING AND ENVIRONMENT,0360-1323,"21,261",4.539,5.221,0.021660
1051,JOURNAL OF IMMUNOLOGY,0022-1767,"128,250",4.539,4.990,0.148890
1053,COMPUTERS & EDUCATION,0360-1315,"13,146",4.538,5.568,0.016050
1053,COMPUTERS & EDUCATION,0360-1315,"13,146",4.538,5.568,0.016050
1055,JOURNAL OF CONSULTING AND CLINICAL PSYCHOLOGY,0022-006X,"23,291",4.536,6.247,0.016100
1056,JOURNAL OF INFORMATION TECHNOLOGY,0268-3962,"1,170",4.535,3.745,0.001500
1056,JOURNAL OF INFORMATION TECHNOLOGY,0268-3962,"1,170",4.535,3.745,0.001500
1058,CURRENT OPINION IN CLINICAL NUTRITION AND METABOLIC CARE,1363-1950,"4,842",4.534,4.316,0.007130
1059,FEBS Journal,1742-464X,"17,495",4.530,4.237,0.034500
1060,AMERICAN ECONOMIC REVIEW,0002-8282,"48,091",4.528,6.498,0.136940
1060,Journal of Oncology,1687-8450,"1,573",4.528,Not Available,0.002410
1062,MATERIALS & DESIGN,0264-1275,"40,615",4.525,4.753,0.078080
1063,CANADIAN JOURNAL OF CARDIOLOGY,0828-282X,"6,035",4.524,4.035,0.017810
1063,Cryosphere,1994-0416,"5,336",4.524,5.558,0.023100
1065,APPLIED CATALYSIS A-GENERAL,0926-860X,"38,219",4.521,4.391,0.028070
1065,Journal of Environmental Informatics,1726-2135,513,4.521,2.900,0.001040
1067,ECOGRAPHY,0906-7590,"10,103",4.520,5.617,0.018180
1068,INTERNATIONAL ORGANIZATION,0020-8183,"7,196",4.517,5.406,0.007670
1069,INTERNATIONAL JOURNAL OF INFORMATION MANAGEMENT,0268-4012,"3,626",4.516,4.810,0.004100
1070,COMPOSITES PART A-APPLIED SCIENCE AND MANUFACTURING,1359-835X,"18,038",4.514,4.483,0.018000
1071,HEALTH TECHNOLOGY ASSESSMENT,1366-5278,"5,630",4.513,5.448,0.011340
1071,JOURNAL OF MOLECULAR LIQUIDS,0167-7322,"16,597",4.513,3.929,0.024100
1073,JOURNAL OF LIPID RESEARCH,0022-2275,"22,697",4.505,4.881,0.029380
1074,Agronomy for Sustainable Development,1774-0746,"3,580",4.503,5.550,0.006710
1075,Advances in Geophysics,0065-2687,534,4.500,4.643,0.000350
1075,LIVER INTERNATIONAL,1478-3223,"8,584",4.500,4.185,0.020930
1077,BONE MARROW TRANSPLANTATION,0268-3369,"12,506",4.497,4.431,0.020810
1078,CRITICAL REVIEWS IN ONCOLOGY HEMATOLOGY,1040-8428,"6,956",4.495,4.413,0.012190
1079,COMBUSTION AND FLAME,0010-2180,"22,948",4.494,4.994,0.026350
1080,EUROPEAN JOURNAL OF PHARMACEUTICS AND BIOPHARMACEUTICS,0939-6411,"15,093",4.491,4.580,0.015440
1081,BIPOLAR DISORDERS,1398-5647,"5,070",4.490,4.717,0.007870
1081,REVIEWS IN CHEMICAL ENGINEERING,0167-8299,731,4.490,3.924,0.001280
1081,RNA,1355-8382,"13,110",4.490,4.874,0.029440
1084,EDUCATIONAL PSYCHOLOGIST,0046-1520,"5,128",4.488,8.096,0.003840
1085,LUNG CANCER,0169-5002,"11,340",4.486,4.374,0.019070
1086,BIOCONJUGATE CHEMISTRY,1043-1802,"15,194",4.485,4.416,0.021530
1087,BIOLOGY OF BLOOD AND MARROW TRANSPLANTATION,1083-8791,"10,583",4.484,4.095,0.026940
1087,Journal of Physical Chemistry C,1932-7447,"142,502",4.484,4.691,0.248400
1089,EXPERIMENTAL NEUROLOGY,0014-4886,"20,806",4.483,4.898,0.027350
1090,NEUROSURGERY,0148-396X,"28,592",4.475,4.248,0.025930
1091,ATHEROSCLEROSIS,0021-9150,"23,013",4.467,4.196,0.039120
1092,CLINICAL PHARMACOKINETICS,0312-5963,"7,970",4.464,4.906,0.007320
1093,INTERNATIONAL COMMUNICATIONS IN HEAT AND MASS TRANSFER,0735-1933,"9,370",4.463,4.113,0.011580
1094,Cell Discovery,2056-5968,449,4.462,4.462,0.002540
1095,DNA REPAIR,1568-7864,"6,089",4.461,4.122,0.014950
1096,JOURNAL OF ANIMAL ECOLOGY,0021-8790,"16,148",4.459,4.958,0.017950
1097,ENERGY AND BUILDINGS,0378-7788,"31,865",4.457,4.779,0.034470
1097,GLOBAL BIOGEOCHEMICAL CYCLES,0886-6236,"13,353",4.457,5.203,0.017080
1099,BONE,8756-3282,"21,280",4.455,4.355,0.028800
1099,Clinical Research in Cardiology,1861-0684,"2,789",4.455,3.581,0.007260
1099,REVIEW OF ECONOMIC STUDIES,0034-6527,"11,981",4.455,5.992,0.034660
1102,NEUROBIOLOGY OF AGING,0197-4580,"21,914",4.454,5.060,0.044830
1103,DRUG METABOLISM REVIEWS,0360-2532,"2,611",4.450,5.451,0.002420
1103,Journal of the American Heart Association,2047-9980,"9,057",4.450,5.096,0.047030
1103,Travel Medicine and Infectious Disease,1477-8939,"1,230",4.450,2.739,0.003610
1106,Science China-Chemistry,1674-7291,"4,228",4.448,2.696,0.007940
1107,ChemElectroChem,2196-0216,"3,816",4.446,4.312,0.009850
1108,Journal of Oral Microbiology,2000-2297,603,4.444,Not Available,0.001360
1109,ATOMIC DATA AND NUCLEAR DATA TABLES,0092-640X,"2,924",4.441,3.040,0.002120
1109,COMPUTER METHODS IN APPLIED MECHANICS AND ENGINEERING,0045-7825,"26,508",4.441,4.499,0.034740
1109,MACROMOLECULAR RAPID COMMUNICATIONS,1022-1336,"13,734",4.441,4.319,0.017430
1112,APPLIED SURFACE SCIENCE,0169-4332,"76,301",4.439,3.743,0.096960
1113,JOURNAL OF EDUCATIONAL PSYCHOLOGY,0022-0663,"16,343",4.433,6.197,0.011920
1114,ACS Biomaterials Science & Engineering,2373-9878,"2,048",4.432,4.435,0.005180
1114,IEEE TRANSACTIONS ON VEHICULAR TECHNOLOGY,0018-9545,"21,384",4.432,4.275,0.041010
1116,CHEMOSPHERE,0045-6535,"66,954",4.427,4.551,0.068390
1117,EUROPEAN JOURNAL OF NUTRITION,1436-6207,"5,669",4.423,4.125,0.011650
1118,BIOESSAYS,0265-9247,"9,697",4.419,4.391,0.016870
1118,Review of Environmental Economics and Policy,1750-6816,"1,110",4.419,6.564,0.003740
1120,HORMONES AND BEHAVIOR,0018-506X,"11,304",4.418,4.588,0.015540
1120,IEEE Transactions on Services Computing,1939-1374,"1,636",4.418,4.574,0.005170
1120,JOURNAL OF METAMORPHIC GEOLOGY,0263-4929,"5,833",4.418,4.592,0.005840
1123,BEST PRACTICE & RESEARCH CLINICAL ENDOCRINOLOGY & METABOLISM,1521-690X,"3,757",4.417,4.791,0.006270
1123,EuroIntervention,1774-024X,"5,742",4.417,4.013,0.019300
1125,Frontiers in Oncology,2234-943X,"6,599",4.416,Not Available,0.024250
1126,JOURNAL OF NUTRITIONAL BIOCHEMISTRY,0955-2863,"9,815",4.414,4.669,0.014150
1127,MOLECULAR PHYLOGENETICS AND EVOLUTION,1055-7903,"18,604",4.412,4.294,0.029490
1128,CELLULAR MICROBIOLOGY,1462-5814,"8,989",4.410,4.604,0.015230
1128,IEEE Transactions on Dependable and Secure Computing,1545-5971,"1,692",4.410,3.841,0.004070
1130,Current Opinion in HIV and AIDS,1746-630X,"2,266",4.409,3.895,0.008060
1131,INTERNATIONAL JOURNAL OF PRODUCTION ECONOMICS,0925-5273,"18,583",4.407,4.976,0.022600
1131,RESPIROLOGY,1323-7799,"5,745",4.407,3.714,0.010690
1133,MEDICAL EDUCATION,0308-0110,"9,440",4.405,4.883,0.011900
1134,JOURNAL OF PEST SCIENCE,1612-4758,"2,074",4.402,3.681,0.004480
1135,JOURNAL OF CELL SCIENCE,0021-9533,"42,186",4.401,5.094,0.067280
1136,TRAFFIC,1398-9219,"6,353",4.400,4.263,0.012670
